,metric,train_score,val_scores,type
0,accuracy,0.8951603589723641,0.8584438855188966,random_search
1,recall,0.9730304994768814,0.9549712561857359,random_search
2,precision,0.9045971659469686,0.8802257086354881,random_search
3,f1,0.9375667188568139,0.9160754820218964,random_search
4,roc_auc,0.9381293317717198,0.8689357061428126,random_search
5,accuracy,0.7795449696481834,0.748869799055644,default
6,recall,0.843390290793782,0.8171956525184024,default
7,precision,0.7858813943683289,0.7604970034963981,default
8,f1,0.8136203628862665,0.7878232492527812,default
9,roc_auc,0.8625743972850038,0.8286852457700308,default
0,accuracy,0.9997554699588024,0.7589715397072696,bayesian_optimization
1,recall,0.9998703412645827,0.8173540989534007,bayesian_optimization
2,precision,0.9997011164418946,0.7731639520042954,bayesian_optimization
3,f1,0.9997857214461228,0.7946388217294124,bayesian_optimization
4,roc_auc,0.9999962575717642,0.8406174942962193,bayesian_optimization
